Skill,Question,OptionA,OptionB,OptionC,OptionD,Answer
JavaScript,Which is the storage that allows the caching of web pages and their associated resources?,Web Databases,FileSystem API,Offline Web Applications,All of the mentioned,Offline Web Applications
JavaScript,The localStorage and sessionStorage belongs to,Window object,Element object, Hash object,DOM object,Window object
JavaScript,Which of the following is not an object?,Element,Location,Position,Window,Position
JavaScript,The word ‚Äúdocument‚Äù mainly refers to,Dynamic Information,Static Information,Both a and b,None of the mentioned,Static Information
JavaScript,Which handler is triggered when the content of the document in the window is stable and ready for manipulation?,onload,manipulate,create,None of the mentioned,onload
JavaScript,The setTimeout() method is used to,Make the event sleep,Register a function to be invoked after a certain time,Invoke an event after a certain time,Time for iteration,Register a function to be invoked after a certain time
JavaScript,Which object is the main entry point to all client-side JavaScript features and APIs?,Standard,Location,Window,Position,Window
JavaScript,What are the properties supporting CSS styles for a document element?,style and font,style and className,size and style,className and font,style and className
PHP,"What will be the output of the following PHP code?  < ?php  echo ""chr(52)"";  ?>   ",1,2,3,4,4
SQL,Which command undo all the updates performed by the SQL in the transaction?,ROLLBACK,COMMIT,TRUNCATE,DELETE,ROLLBACK
SQL,"In SQL, which command is used to SELECT only one copy of each set of duplicable rows",SELECT DISTINCT,SELECT UNIQUE,SELECT DIFFERENT,All of the above,SELECT DISTINCT
SQL,"In SQL, which command(s) is(are) used to change a table's storage characteristics?",ALTER TABLE,MODIFY TABLE,CHANGE TABLE,All of the above,ALTER TABLE
SQL,Which of the SQL statements is correct,SELECT Username AND Password FROM Users,"SELECT Username, Password FROM Users","SELECT Username, Password WHERE Username = 'user1'",None of these,"SELECT Username, Password FROM Users"
SQL,Which operator performs pattern matching?,BETWEEN operator,LIKE operator,EXISTS operator,None of these,LIKE operator
SQL,What operator tests column for the absence of data?,EXISTS operator,NOT operator,IS NULL operator,one of these,IS NULL operator
Visual Basic,Which language is not a true object-oriented programming language?,C#,VB.NET,VB 6,C++,VB 6
Visual Basic,A GUI:,"uses buttons, menus, and icons.",should be easy for a user to manipulate.,stands for Graphic Use Interaction.,Both a and b.,Both a and b.
Visual Basic,Visual Studio .NET provides which feature:,debugging.,application deployment.,syntax checking.,All of the above.,All of the above.
Visual Basic,What does IDE stand for?    , Integrated Development Environment,Integrated Design Environment,Interior Development Environment,Interior Design Environment, Integrated Development Environment
Visual Basic,Which type of project can a developer choose in the New Project dialog box?,Visual Basic Projects,Visual C# Projects,Visual C++ Projects,All of the above.,All of the above.
Visual Basic,Which is not a main component of the Visual Studio IDE?,Solution Explorer,Tool Box,Start Menu,Designer Window,Start Menu
Visual Basic,Which does the solution explorer not display?,Form Properties,Reference Folder,Form File,Assemble File,Form Properties
Visual Basic,Which is true about the name and text property of a control?,They are the same when the control is first created.,The text property changes to match any changes in the name property. ,The name property changes to match any changes in the text property.,They are never the same unless the programmer makes it that way.,They are the same when the control is first created.
Visual Basic,For which task does the IDE provide multiple ways to accomplish the task? ,Putting a control on the form,Running the program,Activating the property window for a control,All of the above.,All of the above.
Visual Basic,Which are the standard prefixes for the Button and Combo box controls respectively?,btn and chb,btn and cbo,bto and chb,bto and cbo,btn and cbo
C#,Which of the following is NOT an Arithmetic operator in C#.NET?,**,+,/,%,**
C#,Which of the following is NOT a Bitwise operator in C#.NET?,&,|,<<,^,<<
C#,Which of the following statements is correct about properties used in C#.NET?,A property can simultaneously be read only or write only.,A property can be either read only or write only.,A write only property will have only get accessor.,A write only property will always return a value,A property can be either read only or write only.
C#,Which of the following is an 8-byte Integer?,Char,Long,Short,Byte,Long
C#,Which of the following is NOT a .NET Exception class?,Exception,StackMemoryException,DivideByZeroException,OutOfMemoryException,StackMemoryException
C#,Which of the following statements is valid about generic procedures in C#.NET?,All procedures in a Generic class are generic.,Only those procedures labeled as Generic are generic.,Generic procedures can take at the most one generic parameter.,Generic procedures must take at least one type parameter.,Generic procedures must take at least one type parameter.
C#,In C#.NET if we do not catch the exception thrown at runtime then which of the following will catch it?,Compiler,CLR,Linker,Loader,CLR
C#,Which of the following does not store a sign?,Short,Integer,Long,Byte,Byte
NoSQL,Which of the following is a NoSQL Database Type ?,SQL,Document databases,JSON,All of the mentioned,Document databases
NoSQL,Which of the following is a wide-column store ?,Cassandra,Riak,MongoDB,Redis,Cassandra
NoSQL,"Most NoSQL databases support automatic __________, meaning that you get high availability and disaster recovery",processing,scalability,replication,All of the mentioned,replication
NoSQL,NoSQL databases is used mainly for handling large volumes of ______________ data.,unstructured,structured,semi-structured,All of the mentioned,unstructured
NoSQL,Which of the following are the simplest NoSQL databases ?,Key-value,Wide-column,Document,All of the mentioned,Key-value
NoSQL,Which of the following language is MongoDB written in ?,Javascript,C,C++,All of the mentioned,All of the mentioned
NoSQL,Which of the following format is supported by MongoDB ?,SQL,XML,BSON,All of the mentioned,BSON
NoSQL,Point out the correct statement :,MongoDB is classified as a NoSQL database,MongoDB favours XML format more than JSON,MongoDB is column oriented database store,All of the mentioned,MongoDB is classified as a NoSQL database
NoSQL,A query may include a ___________ that specifies the fields from the matching documents to return.,selection,projection,union,None of the mentioned,projection
PHP,Which one of the following PHP functions can be used to build a function that accepts any number of arguments?,func_get_argv(),func_get_argc(),get_argv(),get_argc() ,func_get_argc()
PHP,Which of the following statement produce different output,"<?echo ""This is php example""; ?>","<P=""This is php example""; ?>","<?PHP echo ""This is php example""; php?>","<script language=""php""> print ""This is php example"";</script>","<?PHP echo ""This is php example""; php?>"
PHP,Which of following commenting is supported by Php,Single line c++ syntax - //,Shell syntax - #,Both of above,None of above,Both of above
PHP,Which one of the following is the right way of defining a function in PHP?,function { function body },data type functionName(parameters) { function body },functionName(parameters) { function body },function functionName(parameters) { function body } ,function functionName(parameters) { function body } 
PHP,Which one of the following PHP functions can be used to find files?,glob(),file(),fold(),get_file() ,glob()
PHP,Which function is useful when you want to output the executed command‚Äôs result?,out_cmm(),out_system(),cmm(),system() ,system() 
PHP,Select the incorrect statement about PHP programming language,Classes are case-insensitive,Functions rae case-insensitive,Variables are case-insensitive,Constants are case-sensitive,Variables are case-insensitive
PHP,Which one of the following function is capable of reading a file into an array?,file(),arrfile(),arr_file(),file_arr() ,file()
PHP,A function in PHP which starts with __ (double underscore) is know as..,Magic Function,Inbuilt Function,Default Function,User Defined Function ,Magic Function
HTML,A webpage displays a picture. What tag was used to display that picture?,picture,image,img,src,img
HTML,<b> tag makes the enclosed text bold. What is other tag to make text bold?,<strong>,<dar>,<black>,<emp>,<black>
HTML,Tags and test that are not directly displayed on the page are written in _____ section.,<html>,<head>,<title>,<body>,<head>
HTML,Which tag inserts a line horizontally on your web page?,<hr>,<line>,<line direction=‚Äùhorizontal‚Äù>,<tr>,<hr>
HTML,What should be the first tag in any HTML document?,<head>,<title>,<html>,<document>,<html>
HTML,Which tag allows you to add a row in a table?,<td> and </td>,<cr> and </cr>,<th> and </th>,<tr> and </tr>,<tr> and </tr>
HTML,How can you make a bulleted list?,<list>,<nl>,<ul>,<ol>,<ul>
HTML,How can you make a numbered list?,<dl>,<ol>,<list>,<ul>,<ol>
HTML,How can you make an e-mail link?,<a href=‚Äùxxx@yyy‚Äù>,<mail href=‚Äùxxx@yyy‚Äù>,<mail>xxx@yyy</mail>,<a href=‚Äùmailto:xxx@yyy‚Äù>,<a href=‚Äùmailto:xxx@yyy‚Äù>
HTML,What is the correct HTML for making a hyperlink?,<a href=‚Äùhttp:// mcqsets.com‚Äù>ICT Trends Quiz</a>,<a name=‚Äùhttp://mcqsets.com‚Äù>ICT Trends Quiz</a>,<http://mcqsets.com</a>,url=‚Äùhttp://mcqsets.com‚Äù>ICT Trends Quiz,<a href=‚Äùhttp:// mcqsets.com‚Äù>ICT Trends Quiz</a>
Oracle DBA,SNAPSHOT is used for [DBA],Synonym,Table space,System server,Dynamic data representation,Dynamic data representation
Oracle DBA,We can create SNAPSHOTLOG for[DBA],Simple snapshots,Complex snapshots,Both A & B,Neither A nor B,Simple snapshots
Oracle DBA,ENQUEUE resources parameter information is derived from[DBA],"Processes or DDL_LOCKS and DML_LOCKS,","LOG_BUFFER,",DB__BLOCK_SIZE..,,"Processes or DDL_LOCKS and DML_LOCKS,"
Oracle DBA,LGWR process writes information into,"Database files,","Control files,","Redolog files,",All the above.,"Redolog files,"
Oracle DBA,SET TRANSACTION USE ROLLBACK SEGMENT is used to create user,TRUE,FALSE,,,FALSE
Oracle DBA,Databases overall structure is maintained in a file called,"Redolog file,","Data file,","Control file,",All of the above.,"Control file,"
Oracle DBA,Transactions per rollback segment is derived from[DBA],"Db_Block_Buffers,","Processes,","Shared_Pool_Size,",None of the above,"Processes,"
Oracle DBA,"These following parameters are optional in init.ora parameter file DB_BLOCK_SIZE, PROCESSES",TRUE,FALSE,,,FALSE
Oracle DBA,Constraints cannot be exported through EXPORT command,TRUE,FALSE,,,FALSE
Oracle DBA,It is very difficult to grant and manage common privileges needed by different groups of database users using the roles,TRUE,,,,FALSE
Oracle DBA,What is difference between a DIALOG WINDOW and a DOCUMENT WINDOW regarding moving the window with respect to the application window,Both windows behave the same way as far as moving the window is concerned.,A document window can be moved outside the application window while a dialog window cannot be moved,A dialog window can be moved outside the application window while a document window cannot be moved,,A dialog window can be moved outside the application window while a document window cannot be moved
Oracle DBA,What is the difference between a MESSAGEBOX and an ALERT,A messagebox can be used only by the system and cannot be used in user application while an†alert can be used in user application also.,A alert can be used only by the system and cannot be used in user application while a messagebox can be used in user application,An alert requires an response from the userwhile a messagebox just flashes a message and only requires an acknowledgement from the user,An message box requires an response from the userwhile a alert just flashes a message and only requires an acknowledgement from the user,An alert requires an response from the userwhile a messagebox just flashes a message and only requires an acknowledgement from the user
Oracle DBA,Which of the following is not an reason for the fact that most of the processing is done at the server,To reduce network traffic.,"For application sharing,",To implement business rules centrally,none of the above,none of the above
Oracle DBA,Can a DIALOG WINDOW have scroll bar attached to it ?,Yes,No ,,,No 
Oracle DBA,Which of the following is not an advantage of GUI systems ?,"Intuitive and easy to use.,",GUIs can display multiple applications in multiple windows,GUIs provide more user interface objects for a developer,None of the above,
Oracle DBA,What is the difference between a LIST BOX and a COMBO BOX ?,"In the list box, the user is restricted to selecting a value from a list but in a combo box the user can type in the value which is not in the list",A list box is a data entry area while a combo box can be used only for control purposes,"In a combo box, the user is restricted to selecting a value from a list but in a list box the user can type in the values which are not in the list",None of the above,"In the list box, the user is restricted to selecting a value from a list but in a combo box the user can type in the value which is not in the list"
Oracle DBA,"In a CLIENT/SERVER environment , which of the following would not be done at the client","User interface part,","Data validation at entry line,","Responding to user events,",None of the above,None of the above
Oracle DBA,Why is it better to use an INTEGRITY CONSTRAINT to validate data in a table than to use a STORED†PROCEDURE ?,Because an integrity constraint is automatically checked while data is inserted into or updated in a table while a stored procedure has to be specifically invoked,Because the stored procedure occupies more space in the database than a integrity constraint definition,Because a stored procedure creates more network traffic than a integrity constraint definition,,Because an integrity constraint is automatically checked while data is inserted into or updated in a table while a stored procedure has to be specifically invoked
Oracle DBA,Which of the following is not an advantage of a client/server model ?,A client/server model allows centralised control of data and centralised implementation of business rules,A client/server model increases developers productivity,A client/server model is suitable for all applications,None of the above,A client/server model is suitable for all applications
Oracle DBA,What does DLL stands for ?,Dynamic Language Library,Dynamic Link Library,Dynamic Load Library,None of the above,Dynamic Link Library
NLP,Natural Language Processing (NLP) is field of,Computer Science,Artificial Intelligence,Linguistics,All of the mentioned,All of the mentioned
NLP,NLP is concerned with the interactions between computers and human (natural) languages,TRUE,FALSE,,,TRUE
NLP,One of the main challenge/s of NLP Is _____________,Handling Ambiguity of Sentences,Handling Tokenization,Handling POS-Tagging,All of the mentioned,Handling Ambiguity of Sentences
NLP,"Modern NLP algorithms are based on machine learning, especially statistical machine learning",TRUE,FALSE,,,TRUE
NLP,Choose form the following areas where NLP can be useful.,Automatic Text Summarization,Automatic Question-Answering Systems,Information Retrieval,Developing Autonomous Robots,"a,b,c,d"
NLP,The major tasks of NLP includes,Automatic Summarization,Discourse Analysis,Machine Translation,Semantic Analysis,"a,b,c,d"
NLP,Coreference Resolution is,Anaphora Resolution,"Given a sentence or larger chunk of text, determine which words (ìmentionsî) refer to the same objects (""entities"")",Both a) & b),Neither a) nor b),"Given a sentence or larger chunk of text, determine which words (ìmentionsî) refer to the same objects (""entities"")"
NLP,Machine Translation,Converts one human language to another,Converts human language to machine language,Converts any human language to English,Converts Machine language to human language,Converts one human language to another
NLP,The more general task of coreference resolution also includes identifying so-called ìbridging relationshipsî involving referring expressions.,TRUE,FALSE,,,TRUE
NLP,Morphological Segmentation,Does Discourse Analysis,Separate words into individual morphemes and identify the class of the morphemes,Is an extension of propositional logic,None of the above,Separate words into individual morphemes and identify the class of the morphemes
NLP,Natural language processing is divided into the two subfields of:,symbolic and numeric,time and motion,algorithmic and heuristic,understanding and generation,understanding and generation
NLP,"High-resolution, bit-mapped displays are useful for displaying:",clearer characters,graphics,more characters,All of the mentioned,All of the mentioned
NLP,A bidirectional feedback loop links computer modeling with:,artificial science,heuristic processing,human intelligence,cognitive science,cognitive science
NLP,"In LISP, the function evaluates both and is",set,setq,add,eva,set
NLP,What takes input as an object described bya set of attributes?,tree,graph ,decision graph,decision tree,decision tree
NLP,How the decision tree reaches its decision?,single test,two test,sequence of test,no test,sequence of test
NLP,Ambiguity may be caused by:,syntactic ambiguity,multiple word meanings,unclear antecedents,All of the mentioned,All of the mentioned
NLP,Which company offers the LISP machine considered ìthe most powerful symbolic processor availableî?,LMI,Symbolics,Xerox,Texas Instruments,Symbolics
NLP,What of the following is considered a pivotal event in the history of Artificial Intelligence?,"1949, Donald O, The organization of Behavior","1950, Computing Machinery and Intelligence","1956, Dartmouth University Conference Organized by John Mccarthy","1961, Computer and Computer Sense","1956, Dartmouth University Conference Organized by John Mccarthy"
NLP,Which of the following have people traditionally done better than computers?,recognizing relative importance,finding similarities,resolving ambiguity,,
JQUERY,Which jQuery method is used to set one or more style properties for selected elements?,css(),html(),style(),,css()
JQUERY,Which jQuery method is used to perform an asynchronous HTTP request?,jQuery.ajaxAsync(),jQuery.ajax(),jQuery.ajaxSetup(),,jQuery.ajax()
JQUERY,What is the correct jQuery code for making all div elements 100 pixels high?,"$(""div"").height=""100""","$(""div"").height(100)","$(""div"").yPos(100)",,"$(""div"").yPos(100)"
